Film,Comedy,Drama,Romantic,Animation,Romance,Fantasy,Action,Adventure,Fiction,Science,Thriller,Crime,Family,Lead Studio,Audience score %,Profitability,Rotten Tomatoes %,Worldwide Gross,index,rating_J,rating_H
The Ugly Truth,1,0,1,0,0,0,0,0,0,0,0,0,0,Independent,68,5.402631579,14,$205.30,12,1,0
X-Men,0,0,0,0,0,0,1,0,1,1,1,0,0,20th Century Studios,4,3.1,44,$11,64,1,1
No Reservations,1,0,0,0,0,0,0,0,0,0,0,0,0,Warner Bros.,64,3.307180357,39,$92.60,30,1,0
Love Happens,0,1,0,0,0,0,0,0,0,0,0,0,0,Universal,40,2.004444444,18,$36.08,33,1,0
Valentine's Day,1,0,1,0,0,0,0,0,0,0,0,0,0,Warner Bros,54,4.184038462,17,$217.57,9,1,0
High School Musical 3: Senior Year,1,0,0,0,0,0,0,0,0,0,0,0,0,Disney,76,22.91313646,65,$252.04,41,1,0
The Twilight Saga: New Moon,0,1,0,0,0,0,0,0,0,0,0,0,0,Summit,78,14.1964,27,$709.82,13,1,0
Love & Other Drugs,1,0,0,0,0,0,0,0,0,0,0,0,0,Fox,55,1.817666667,48,$54.53,34,1,0
P.S. I Love You,1,0,1,0,0,0,0,0,0,0,0,0,0,Independent,82,5.103116833,21,$153.09,25,1,0
When in Rome,1,0,1,0,0,0,0,0,0,0,0,0,0,Disney,44,0.0,15,$43.04,3,1,0
The Heartbreak Kid,1,0,1,0,0,0,0,0,0,0,0,0,0,Paramount,41,2.129444167,30,$127.77,17,0,0
I Love You Phillip Morris,1,0,0,0,0,0,0,0,0,0,0,0,0,Independent,57,1.34,71,$20.10,40,1,0
Waiting For Forever,0,0,0,0,1,0,0,0,0,0,0,0,0,Independent,53,1.005,6,$2.03,8,0,0
WALL-E,0,0,0,1,0,0,0,0,1,1,0,0,0,Disney,89,2.896019067,96,$521.28,6,1,1
Alice in Wonderland,0,0,0,0,0,1,0,1,0,0,0,0,1,Walt Disney Pictures,22,3.4,44,$33,63,0,1
What Happens in Vegas,1,0,1,0,0,0,0,0,0,0,0,0,0,Fox,72,6.267647029,28,$219.37,4,1,1
Across the Universe,0,0,0,0,1,0,0,0,0,0,0,0,0,Independent,84,0.652603178,54,$29.37,48,0,0
Letters to Juliet,1,0,0,0,0,0,0,0,0,0,0,0,0,Summit,62,2.639333333,40,$79.18,36,1,0
The Curious Case of Benjamin Button,0,0,0,0,0,1,0,0,0,0,0,0,0,Warner Bros.,81,1.78394375,73,$285.43,19,0,0
Infinite,0,0,0,0,0,0,1,0,1,1,0,0,0,Paramount Pictures,33,2.1,77,$11,55,0,1
Superman Returns,0,0,0,0,0,1,1,0,1,1,0,0,0,Warner Bros,33,3.2,22,$11,58,0,1
Laal Singh Chaddha,1,1,0,0,0,0,0,0,0,0,0,0,0,Paramount Pictures,66,3.1,44,$54,56,0,0
Avatar,0,0,0,0,0,0,1,1,1,0,0,0,0,Paramount Pictures,22,6.3,33,$22,50,1,1
Midnight in Paris,0,0,0,0,1,0,0,0,0,0,0,0,0,Sony,84,8.744705882,93,$148.66,31,1,1
Fireproof,0,1,0,0,0,0,0,0,0,0,0,0,0,Independent,51,66.934,40,$33.47,44,0,0
Iron Man 3,0,0,0,0,0,0,1,1,1,1,0,0,0,Columbia Pictures,22,4.1,11,$22,62,1,1
The Proposal,1,1,0,0,0,0,0,0,0,0,0,0,0,Disney,74,7.8675,43,$314.70,15,1,1
Our Family Wedding,1,0,1,0,0,0,0,0,0,0,0,0,0,Independent,49,0.0,14,$21.37,27,1,0
Over Her Dead Body,1,0,1,0,0,0,0,0,0,0,0,0,0,New Line,47,2.071,15,$20.71,26,1,0
Sex and the City 2,1,0,0,0,0,0,0,0,0,0,0,0,0,Warner Bros.,49,2.8835,15,$288.35,24,1,0
Beginners,1,0,0,0,0,0,0,0,0,0,0,0,0,Independent,80,4.471875,84,$14.31,47,1,0
Twilight: Breaking Dawn,0,0,0,0,1,0,0,0,0,0,0,0,0,Independent,68,6.383363636,26,$702.17,11,1,0
Marley and Me,1,0,0,0,0,0,0,0,0,0,0,0,0,Fox,77,3.746781818,63,$206.07,32,1,0
Pirates of the Caribbean,0,0,0,0,0,1,1,1,0,0,0,0,0,Walt Disney Pictures,55,5.4,33,$22,59,1,1
